NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A, ,a1,a1,a1,a1,a1, , , ,a2,p3,p3, , ,a1,a2,a1,a1,a3, , ,a2,p3, , ,a1,d2,d1
B,d1,p1, , ,a2,a2,p2,p1, , ,a2,a2,a2,a2,a2, , ,d1,d1, , ,a1,a2,a2,p1, , , 
C,p2,p1, , ,a3,d2,p1,p1, , ,p2,p1,p1,p1,p2, , ,d2,d3, , ,a3,d2,d3,d2,d2, , 
D,d3,d1,d1,p3,p3, , ,d3,d1,d2,d1, , , ,a2,a2,a3,d3, , ,p2,p2,p2, , , ,p2,p3
E, , ,d2,d3,d2, , ,d2,d1,d2,d2,p1, , ,d1,d3,d3,d3, , ,a1,a3,a1,a3, , ,d3,d3
F,d2,p2,n1,n1,n1, , ,p1,p1, , ,a1,a1,a1,a1,p1, , ,d1,d2,d2,p1, , ,a3,a1, , 
G,p2,p2,p1, , ,a3,a3,a3,a3,a3, , , , ,a1,d3,d2,d3,d3, , , ,a1,a3,d1,d3,p2, 
H,a3,a3,a3, , ,a2,a2,p2, , ,a2,p3, , ,p3,p3,p3,p3,p3, , , , ,a1,a1,a3,a1,d1
I, ,d3,d3,d2,d3, , ,d2,d2, , ,p2,p2,p2,p2, , ,a3,n1, , , , , ,a3,a3,a3,a3
J,p1,p3,p3, , ,a3,a3,a1,a1,d2, , , , ,a2,a2,a2,p3,n1, , ,n1,n1,n1, , ,a2,a2
K, ,a2,d3,d3,d3, , ,a2,d3,d3,d2,d2, , ,d2,p2, , , ,a3,a2,a2, , ,d3,d3,d2,d3
L,a3,d2,d2,d2,p2, , , , ,n1,n1,n1, , ,a1,a1,d2, , ,a1,a1,d2,n1, , , ,a3,a3
M,d2,d3,p1, , ,a3,d2,d2,d3, , ,a2,p1,p1,p2, , ,a3,a2, , ,d2,d3,p2,p2, , , 
N,d1, , ,a3,a3,a1,a1,n1, , ,a1,a1, , ,d2,p1,p1,p1, , , , ,a3,a3,d3,p1,n1, 
O,p3,p3,n1, , ,p3,n1, , ,p3,p3,p3,p3,p3, , ,a1,a2,d2, , ,a2,a2,a2,n1, , , 
P,a3,a3,a3,a3,a3, , , , ,a3,a3,a3, , ,a3,p2,p2,p2, , ,d1,d1,d1,p2, , ,d1,p2
Q,p3,p3,p3, , ,p1,p1,p3, , , , , , ,a3,d2,d2,p1,p3, , ,d2,d2,d2, , ,d2,d2
R,p1,p2,p2,p1,p1, , ,a1,a2,a1,a2, , , ,p2,p1, , , ,a3,a1,d3, , ,a2,a2,a2,a1
S,p3,p3,p2,p3,p1, , ,a1,p3, , ,p1,p1,p2,p2, , ,a1,a1,p3,p3,p3, , ,d2,d2, , 
T,n1, , ,p3,p3,p3,p3,p3, , ,a2,a2,a2,a2,d2, , , , , , ,p3,p1,p3,p3,p2, , 
U, ,a1,a3,a1,a1, , ,p1,p2,p1, , ,a3,a3,p1, , ,a1,a1,n1,n1,n1, , ,a1,a3, , 
V,p2, , ,p2,p2,p2,p3,n1, , ,p3,n1, , ,p3,p3,n1,n1, , , ,d1,p2, , ,p2,p3,p2
W,a1,d2,p1,p1,p3, , ,a3,a3, , ,d2,d2,d2,d2, , ,p1,p3,p3,p1, , , ,d2,d2, , 
X,a1,a1,a1,a3,a1, , ,d1,p3, , ,a1,a1,a1,a1, , ,a1,a1,d2,d2,d1, , ,a1,a1, , 
Y,n1, , ,a1,a3,d3,p2, , ,d3,p2,p2,n1,n1, , ,a3,a3, , , ,a3,p3,p3,p2,p3, , 
Z,d1,d1,d1,d3,d3, , , , , ,d1,d1,d1,d2,n1, , ,d1,d1,d3,d1,d3, , ,n1,n1, , 
AA,p3,n1, , ,d3,d3,d3,p2, , ,d3,d3,d3,d3,d3, , ,d3,n1, , ,d3,d3,d1,d1,d3, , 
AB,d2,p3,p3,p3,p2, , ,p2,n1, , ,d2,n1,n1,n1, , ,a3,a3,a1,p1, , ,a1,p1,p1, , 
AC,d2,d2,d2, , , , ,d2,d2,d2,d2,p2, , ,d1,p2, , ,a3,a3,a3,a3, , ,d1,p1,p1,p1
AD,d2,d1,d3,d2,d1, , ,d3,p1, , ,d1,d3,d3,d3, , ,d1,d1, , , , , ,d2,d2,p1,p1
AE, , ,a2,d2,d2,d2,p3, , ,p3,n1,n1, , ,d3,d1,d1,d3,d3, , ,p3,p1,n1, , ,d1,d1
AF, , ,d1,d1,d1, , ,d1,p1,p2,n1,n1, , ,p1,n1,n1, , ,d1,d1,d1,d1, , , ,a1,a2
AG,p2,p3,n1, , ,d3,p2,n1, , ,a1,a1,a3,a3,n1, , ,a1,a1, , , ,d2,d3,p3,p3, , 
AH,a3,a3,a3,a2,p1, , ,p2,p2,p1,p1,p1, , ,a3,a3, , , ,p3,p3, , , ,d1,d2,d1,n1
AI,a1,a1,a2,a2,a1, , ,d3,p2,p2,p2,p2, , , , , ,p2,p2,p2,p2,p2, , , , ,d3,d3
AJ,a2,a2,a2,a2,p3, , ,a2,d3,d1,d3, , ,d1,d1, , ,d1,n1,n1,n1,n1, , ,d1,d1, , 
AK,a2,a2,a2,d1,d2, , , , , ,a1,d1,p3,p3,p3, , ,a2,a3,d2,d2,d2, , ,a2,a2, , 
AL, , ,d1,d1,d1, , ,d1,d1,d1,d1,d2, , ,a2,a1,a3,d1, , ,a1,a1,a2, , ,a1,a3,a3
AM,a2,a2,a2,a2,a2, , ,a2,p3, , ,p3,p3,p1,n1, , ,d2,p1,p1,p1,p1, , ,n1,n1, , 
AN, ,n1,n1,n1,n1, , ,a3,a3,a3,a3,a3, , , , ,a2,p1,p1,p3,p3, , , ,p3,p2,p1,p1
AO, ,d2,p3,n1,n1,n1,n1, , , , , , , ,d3,d3,d3,d3, , , , ,p1,p1,p1,p1,p1,p3
AP,p1,n1,n1, , , , ,d1,d1,d3,d1,d1, , , , ,p1,p1,p1,n1,n1, , , ,a1,a1,a3,a1
AQ,n1, , , ,a2,a2,a2,d3,n1,n1, , , , ,d2,d2,d3,n1, , , , ,d2,d3,p1,p3,p3,p1
AR,a1,p1,p2,p2, , , ,a1,a1,a1,d3,d3,p1, , , , , , ,d3,p1,p1,p1,p1,n1, , , 
AS,p1,p2, , , ,a2,a2,p3,p1,p3,p1, , , ,a2,p3,p2,p3, , , , ,p1,p3,p3,p1,p2,p3
AT,a1,p2,p1,p2, , , ,a1,a2,d2, , , , , , ,a1,p2,p2,p2,p2, , , ,d3,p2,p2,n1
AU,d3, , , ,d1,d1,d1,d1,d1,p3, , , , ,p3,n1,n1,n1, , , , ,d3,d1,d3,d1,d1,d1
AV,p2, , , ,a2,p1,p2,n1,n1,n1, , , , ,d1,d1,d1,n1, , , , ,a2,a2,a2,a2,d1,d2
AW,d3,p1,p1,p1, , , ,a2,a2,a2,a2,a2, , , , , ,p2,p2,p1,p2, , , ,a2,a3,d3,d3
AX,d3, , , ,a3,a3,d3,d3,d3,d1, , , , ,d2,d2,p1,p1, , , , ,a3,d2,d1,d3,d2,d1
AY, ,d1,d2, , ,d3,d3,d2, , , , , ,d2,d1, , , , , ,d2,d1,d1, , , , , 
AZ,a3, , ,a3,a3,p2,p2,p3, , , , , ,a1,a1, , , , , , , , , , , ,a1,a1
BA, , , , , , , , , , , ,a3,d1,d1, , ,p3,p3,p3,p2,p3, , , , ,p3,p1, 
BB,n1, , , ,d2,d2,d2,d2, , , ,d3,p2,n1, , , , , , , , , , , , ,a2,d3
BC, , , , , ,a2,d3,p2, , , , ,a3,a3,a3,a3, , , , ,a2,a1,a1, , , , , 
BD, , ,p1,p1,p1, , , , , , ,d2,d2,d2, , , , , ,d1,d3, , , , , ,d1,d2
BE, , , , , ,d3,d3,d3, , , , ,n1,n1, , ,d2,d2,d2,d1,d3, , , , , , , 
BF, , , , , ,a1,a1,a1,a1,a1, , , ,a1,p1,p1, , , ,d3,d3, , , , , , , 
BG, , , , , ,d1,d1,d1, , , , ,a2,a2, , ,a2,a2,a2,a2,n1, , , , , , , 
BH, , , ,p2,p2,p1,p1,p1, , , , ,d3,d1,p3, , , , ,a2,p3, , , , , , , 
Problem status: Unfinished,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The minimised penalty = 4057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time elapsed: 18000.1s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
