NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,p2,p2, , , ,p1,p1,p1,p1,p1, , ,d2,d2, , ,p1,p1,p2, , , ,d2,d2,d2,d2, , 
B, ,a1,a1, , , , ,a2,a1,p2,p2,p1, , ,a2,a1,a1, , ,a2,a1,a2,p1, , , ,a1,p1
C,p1,p1, , , ,d2,d2,p1,p1,p1, , , , , ,a1,a1,a1,a1, , , , ,p2,p2,p1,p2,p1
D, , ,a1,d1,d1,d1,d1, , ,d1,d2,p1, , , , ,a1,d1,d2, , ,d1,p1,p1, , ,a1,a1
E, , ,a2,a1,a1, , ,a1,a2,a1, , ,p1,p1,p1, , ,p1,p1, , , , ,a2,a2,a2,a2,a2
F, ,p2,p2, , ,p2,p2, , , ,p2,p2, , ,a2,a2,a2,a2,p2, , ,p2,p2, , ,p2,p2,p2
G,p1, , ,a1,a1,a1,a1,a1, , ,a1,p1,p1,p1, , ,a1,a1,d2, , , ,a1,a1,a2, , , 
H, ,d2,d2,d2,d2, , ,a2,d1,d2, , ,a1,a2,a1,d1, , ,d1,p2,p2, , , ,a1,d2, , 
I,p1, , ,p1,p2,p2,p1, , ,d2,d2,d2, , ,d2,p1, , ,p1,p1,p1,p2, , ,p1,p1, , 
J,a2,a2, , ,a2,a2,a2,p1, , ,p2,p2,p2,p2,p2, , , , , , ,a2,p2,p2,p2,p2, , 
K, , , ,p2,p2,p2,p2,p2, , , ,a1,a1,a1, , ,d1,d1,d1, , ,a1,a1,d1,d1,p1, , 
L,a1,a1, , ,a1,d1,p1, , ,d1,p1,p1,p1,p1, , ,d1,p1, , , ,a1,d1,d1,p1, , , 
M, , , ,d1,d1, , ,d1,d2,d1,p2,p2, , , ,a1,d1, , ,a2,a2,a2,a2,d2, , ,a1,a1
N,p2,p2,p1, , , , ,a1,a1,a1,a1, , , , , ,a1,a2,a1,a2,a1, , , ,a1,a2,a1,a1
O,d1,d1,d1,p2, , , , ,a2,d1,d1,d1, , ,d2,d1, , ,p2,p2,p2, , , , ,d2,d1,d1
P, , ,a1,a1, , , ,a1,a1,a1,a1,a1, , ,a1,p2, , , ,a1,p1,p1,p1, , ,p2,p1,p1
Q, ,a1,a2,a2,p1, , ,d1,p1, , ,d1,d2,d1,d1,d1, , , ,a1,a2, , ,d1,d1,d1, , 
R, ,a2,p2,p2,p2, , ,a2,a2, , ,p2,p2,p2,p2,p2, , ,a2,d2,d2,d2,d2, , , , , 
S,p1,p1,p1,p1,p1, , ,a1,a1,a2, , ,d1,d1,d1, , , ,a1,a1,a1,d1,p1, , , , , 
T,d1, , ,a1,a1, , , ,d1,p1,p1,p1, , ,a1,a1, , ,d1,d1,d1,d1,d1, , , ,a1,a1
U,p2, , ,a2,a2, , ,d2,d2,d2, , , , ,a2,d2,p2, , ,d2,d2,d2,d2,d2, , ,d2,d2
V, , ,d1,d1, , , ,d1,d1,d1,d1,d1, , ,p2,p2,p2, , ,d1,d1,p2, , , ,p2,p1,p2
W,a1,a1,d1, , , , ,p2,p2,p2, , ,d1,d1,d1, , ,p2,p2,p2,p2,p2, , ,a1,a1, , 
X, ,d1,d1, , , , , ,a1,d1,d1,d1, , ,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d2,d1
Y, ,d1,d1,p2,p1, , , , ,a2,a2,a2,a2,d1, , ,d1,d1,d1, , ,p1,p1, , , ,d1,d1
Z, ,d1,d1,d1,d1, , ,a2,d1, , ,a2,d1,p1,p1,p1, , , , , ,a2,d1,d1, , ,d1,d1
AA,a1,a1,d1, , ,a1,a1, , ,a1,a1,a1,a1,a1, , , ,a1,a1, , ,a1,a1,d2,p2, , , 
AB,d1,p1, , , ,a2,a2, , , ,d1,d1, , ,d1,d1,d1,d1,p2, , , , ,a2,a2,a2,a2,a2
AC,d1, , ,d1,d1,d2,d1,p1, , ,d1,d1,d1,d1, , ,d1,d2,d2, , ,d2,d1,d1, , , , 
AD,a2,p1, , ,a2,p2,p1,p2,p1, , , ,a2,a2, , ,d2,p2, , , ,p2,p2,p2,p1,p1, , 
AE,d2,d2,d2, , ,d2,d2,d2, , ,a1,a1,d2,d2, , ,a1,a1,a1, , , ,a2,a1,a1, , , 
AF,p1,p1,p1,p1,p1, , , , , , ,a1,a1,d1,d1,p1, , ,d2,d1,p1, , ,d1,d2,d1, , 
AG, ,a1,p1,p1,p1, , , , , ,a1,p1,p1,p1,p1, , ,a1,a2,a2,a1, , ,a1,a2,a2, , 
AH,a1,d1, , ,d1,d1,d1,d1,d2, , , ,p1,p1,p1,p1,p1, , , , ,p1,p1,p1,p1, , , 
AI,a2,a2,a2, , ,d1,d1,d1,d1, , , , , , ,a2,a2,a2,a2, , ,d1,d1, , ,a1,a1,d1
AJ,d1,d1, , , ,d1,d1,d1,d1, , ,d1,d1,d1,d1, , ,d1,d1, , ,d1,d1,d1,d1, , , 
AK, , ,a2,d1, , , ,d1,d1,d1,d1, , , ,d1,d1,d1, , ,d1,d1,d1,d2,p1, , ,d1,d1
AL, ,a1,a1,a1,d2, , , , ,a1,d1, , , ,a1,a1, , ,a1,d1,d1,d1, , ,a1,d2,d1,d2
AM,d2, , ,a1,a1,a1,a1, , ,a1,d2,d2, , ,a1,a1,p1, , ,a1,a1,a1,a1,a1, , , , 
