NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,E,E,E,E,E, , ,E,E,E, , ,E,D,D,D,D, , , , ,D,D,D, , ,E,D
B,L,L,L,L,L, , ,L,L,L,L, , , ,L,L,L, , ,L,L,L,L, , , ,L,L
C,D,D,D,D,D, , ,L,L,L, , , , ,D,D,D, , ,D,L,L, , ,D,D,D,D
D,D,D,D, , , , , , ,E,D,D,D,D, , ,E,D,D, , ,E,E,E, , ,E,E
E, ,E,E,E,D, , ,E,D, , ,D,D,L, , ,E,E,E,E,E, , , ,E,L, , 
F,E,E,L, , ,E,E,E,E,L, , , , ,E,L,L,L,L, , ,E,E,E, , ,L,L
G,L,L, , ,E,E,E,E, , ,E,E,E,E,E, , ,E,E, , ,L,L,L,L, , , 
H, , ,L,L,L,L,L, , , ,L,L, , ,L,L,L,L,L, , , , ,L,L,L,L,L
I,D,D,D,D,D, , ,D,D,D, , ,D,D,D,D,D, , ,D,D,D, , ,D,D, , 
J, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L, , ,E,E,E,L, , , 
K,D,D,D,L,L, , , , ,D,D,D,L,L,L, , , ,D,D,D,D,D,D, , , , 
L,L, , , ,E,E,E,D,D,L, , , , ,E,E,E,E,L, , , ,E,E,E,E,D,D
M, , , ,E,L, , , ,E,E,E,E, , , ,E,D,D,D,L,L, , , ,E,E,L,L
N,E,E,E,E,E, , , , ,E,E,E,E,D,D, , , ,E,E,E,E,E,D, , , , 
O, , ,E,D,D,D,L,L, , , ,E,L,L,L,L,L, , , , ,D,D,D,L, , , 
P, , ,L, , , , , ,D,L, , , , , , ,L,L,L, , , ,L, , , ,D,D
Q, , , , ,D, , ,D, , , , ,E,E,E, , , ,E, , , ,E,D,D, , , 
R,L, , , ,D,D,L, , , , ,E, , , , ,E,E,E, , , , , ,E, , , 
Problem status: Solved to optimality

The minimised penalty = 1950
Time elapsed: 561.682s.
