NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A, , ,a5,p2,p2,p2,p4, , , ,d5,p3,p3,p3,p3, , ,a5,p4, , ,d3,d5,n1, , , , 
B,p3,p2,p2,p1,p1, , ,p1,p1,p1,p5, , ,d3,p3,p3, , , , ,a2,a2,a2,a2,a5, , , 
C,a1,a4,n3, , ,a1,a2,a1,n2, , ,a1,a1,a1,p2,n1, , , , , ,a2,a3,a2,d3,d3, , 
D,a3,d3,d5, , ,a4,d3,d3, , ,d2,d5, , ,p4,p4,p4,p4,p3, , , , , , , ,a4,d4
E,p3,p5,p2,p3, , , ,p2,p1, , ,a3,d4,d3, , , ,a1,d5, , ,n2,n2, , ,a4,p3,p1
F,d5,n3, , ,a5,p5,p2,p5, , ,a3,a3,a5,p2, , ,p3,n2, , , , , ,a3,d5, , , 
G, , , ,a2,d5, , ,a2,a2,a3,a5, , , ,p2,p2,p2,p2, , ,d4,n1,n1, , ,n3,n2,n1
H,a5, , ,a4,d5, , ,a4,d5,p4,p4, , , ,a2,p5, , , , ,a2,a3,a2, , , ,d5,p3
I, , ,d1,d2,d1,d1,d1, , ,p4,p3, , , , ,a4,a2,d2,p3, , ,a5,n1, , ,a5,p1,n1
J,p5,p3,p5,p3,p5, , ,d2,d3, , ,p2,p2,p2,p2,n2, , ,a3,a3,d1,n2, , , , , , 
K,a2, , , ,p4,p4,p4,n2, , ,d2,d3, , ,d5,p2,p1,p2,p5, , ,d3,d3, , , ,p1,p1
L,d4,d1,d1, , , , ,a3,a4,d4,d4,d4, , , , , , ,d2,d2,d2,d2,d2, , ,a4,p4,p4
M,a3,d4,d2,d4, , , , ,a1,p1,p2,n1, , , , , ,a1,a1,a2,a4,n1, , ,a1,a2,d2,d4
N, ,d2,a5, , ,d3,a5,n1, , ,p2,p2,n1,n2, , ,d2,n1,n2, , ,p3,p3,p4,p4, , , 
O,d1,d1, , ,a3,d1,d2,p5,n3, , , ,a4,a1, , ,d1,p3,p3, , , ,a1,d2,p3,p4, , 
P,p1, , ,p2,p2,p1,p2, , ,a5,p5, , , ,a1,a3,a1,d4, , , ,d2,d2,n1, , ,p5,p2
Q, , ,d2,p4, , ,a1,d2,d4,n3, , ,d2,d2,d2,p5,n2, , , , ,p4,p2,p4,n2, , , 
R,a4,n3,n1,n3,n2, , , , , , ,a4,a5,p4, , ,p3,p3,p3, , , , , ,a2,p3,n1,n2
S, , ,d5,p3,p3,p3,p3, , ,p4,n3, , , ,p5,n1, , ,a1,d3,d3,p5, , ,p5,n2, , 
T,d3,n1, , ,n2,n2,n1, , ,p5,p1,p5, , ,p1,p5, , ,a1,a2,a1,p3, , ,a2,p3, , 
U, ,d3,d3,d3,d4, , , , ,a3,a5,p1,n2,n2, , ,a2,a3,a3,a5, , ,p4,p2,p2, , , 
V,n3,n2, , , ,a3,a3,d2,d2,d2, , , , , ,p4,p4,p4,n2, , ,d5,n3, , , ,p2,p4
W, ,d2,d3,d3,d3, , ,d3,d2,d3,p3, , , ,a1,d3, , ,d3,p5,p3,p5,p3, , , ,d3,d3
X,p4,p4,n2, , ,d4,d5,p3,p3,p2, , , , ,p3,p4, , ,a4,d4,d4,d1,n2, , , , , 
