NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,L,L,L, , , , , ,L,L,L,L, , ,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1
B,E,E,E, , ,E,E,d2,L, , ,E,E,L, , ,E,d2,d2, , ,d2,d2,d2,d2,d2, , 
C,L, , ,L,L,L,L,L, , ,E,E, , ,E,E,E,E, , , ,L,L, , ,d1,L,L
D,d2,d2, , ,N,N,N,N,N, , , , , ,d2,d2,L,L,L, , ,d1,d2, , , ,d1,d1
E, , , ,E,E, , ,L,L,L,L,L, , ,E,L, , ,E,L,L,L,N, , ,L,L,L
F,L, , , ,N,N,N,N,N, , , ,d1,d1,d1,d1,d1, , , , ,L,L,L,L, , , 
G, , , , ,d2,d2,d2,d2,d2, , , , , ,E,E,d2,d2,N, , ,L,N,N, , ,E,L
H,d1,d2,d2,d1,d1, , , ,d1,d1, , ,d2,d1,d1,d1,d2, , , , ,d1,d1, , ,d1,d1,d1
I, , ,E,E,d1, , , ,E,d1,N,N, , ,E,E, , ,d1,N,N, , , ,E,d1,d1,d1
J, ,d1,N, , ,d1,d1,d1,d1,d1, , , , ,N,N,N, , ,d1,L, , ,d1,L,N, , 
K, ,d1,d1, , , , ,d1,d1,d1,d1, , , , , ,N,N,N,N,N, , ,d1,d1,d1,d1,d1
L,E, , ,L,L, , , , ,E,E,E, , ,E,E,d1, , ,d2,d2,d2,d2,d2, , ,N,N
M,L,L,L, , , , ,E,E,L, , ,L,L,L,L,L, , ,E,E,E,E,d1, , , , 
N, , ,L,L,L,L,L, , ,L,L,L, , ,L,L,L,L,L, , , , , ,L,L,L,L
O,L,L,L,L,L, , , , , ,E,d2,d2,d2,d2, , ,E,E, , ,d2,d2,d2, , ,d2,d2
P,N, , ,L,L, , ,E,d2,d2,L, , , ,d1,d2, , ,d1,d1,d1,d1,d1, , ,E,E,E
Q,E,E,E,E,E, , ,E,E,E, , ,L,L,L,L,L, , , , , ,E,d2, , ,L,L
R,d1,d1,d2,d1, , , ,E,E, , ,E,d1,d2,d2,d2, , ,E,E,E, , , ,E,d1, , 
S,d2,d2,N, , ,L,L,L,L, , , ,E,d1,d1,d1,d1, , , , ,L,L,L,L,L, , 
T,d2,d2,d2, , ,d2,d2,d2, , ,d2,d2,L,L,L, , ,d2,L, , ,L,L,L,L,L, , 
U,E,L, , , , , ,L,L,L,L,L, , , , ,E,d2,d2,d2,d2, , ,d2,d2,d2,d2,d2
V, , , ,L,L,L,L,L, , ,d1,d1, , ,E,E,E,d1,d1, , ,E,L, , ,E,d1,d1
W, , ,d2,N,N,N,N, , , , , ,d2,d2,d2,d2,d2, , , , ,d1,d1,d1,d1,d2, , 
X,d1,d1,d1,d1, , , ,E,E,E, , ,E,E, , ,E,E,E,E,d1, , , ,E,E, , 
Y,d2,d2,L,L, , , , ,E,E,d1,d1, , , , , ,d1,d1,d1,d1, , ,E,E,E,E,E
Z,d2, , , ,E,d1,d1,d1,d2, , , , , ,E,E,E,E,d1, , ,E,E,E, , ,E,E
AA, ,d1,d1, , ,d1,L, , ,d1,d1,d1,d1,L, , ,L,L,L, , , ,d1,L,L,L, , 
AB, ,E,d1,d2,d2, , ,E,N, , ,d1,d2,d2, , ,d2,d2,d2,d2,d1, , ,d2,d1, , , 
AC,L,N, , , ,E,d1,d1,d1,N, , , , ,d1,d1,N, , ,L,L,L,L,L, , , , 
AD, , , ,d2,d2, , , ,E,E,d2,d2, , ,d2,d2, , ,E,E,E,E,E, , ,E,E,E
AE, , ,d1,d1,d1, , , ,d1,d2,d2,d2, , , , ,L,L,L,L,L, , ,d2,d2,d2,d2,d2
AF, ,E,E,E,d2, , , ,E,E,L, , , ,L,L, , ,d2,d2,d2,d2,d2, , ,E,E,L
AG,E,E,E,E,E, , , , , ,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E, , 
AH,E,L, , ,E,E,E, , , ,d2,L, , ,L,L, , ,E,E,E,d2, , ,E,L, , 
AI, , ,L,N, , , ,L,N, , ,E,L,L, , ,L,L,L,L,L, , , ,E,N, , 
AJ,E,d2, , , ,E,E,d2,d2, , ,d2,d2,d2, , ,E,d1,d2, , ,N,N,N,N, , , 
AK,L,L, , , ,d1,d1,d1,d2,d2, , ,E,E, , ,d2,d1, , , , ,d1,L,L,L, , 
AL,d2,N, , ,d1,d2,d2,d2, , ,d1,d1,d1,d1,N, , ,L,L, , ,d2,d2, , , , , 
AM, , ,E,E,E,E,E, , , ,E,E, , ,E,E,E,E, , , ,E,E, , , ,E,E
AN, , ,d2,d2,d1,d1,d2, , , ,d2,L,L,L,L, , ,d1,d1, , ,E,E,E,E,d2, , 
Problem status: Solved to optimality

The minimised penalty = 4631
Time elapsed: 2097.73s.
