,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,E,E,E,E, , , ,E,D,D,D,D, , ,E,D,D,D, , , ,D,D,D,D,D, , 
B,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L, , , , 
C,D,D,L,L,L, , ,L,L,L,L,L, , ,D,D,D,D,D, , , , , ,L,L, , 
D,D,D,D, , , ,D,D,D,D,D, , , ,E,D,D,D,D, , ,E,D,D,D,D, , 
E,D,L,L,L,L, , ,D,D,D,L,L, , ,L,L,L,L,L, , , , , ,E,D, , 
F,E,E,E,L, , , ,L,L,L,L, , , ,L,L,L,L,L, , ,E,E,E,E,L, , 
G,L,L,L,L,L, , ,L,L,L,L,L, , , , , ,E,E, , ,L,L,L,L,L, , 
H,L,L,L,L,L, , , , , ,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , 
I,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , , , , ,D,D,D,D,D, , 
J,L,L,L,L,L, , ,L,L,L,L,L, , , , ,L,L,L, , ,L,L,L,L,L, , 
K,D,D,L,L, , , ,L,L,L,L,L,L, , , , , , ,L,L,L,L,L,L, , , 
L,E,D,D,D, , , ,E,D,D,L, , , ,D,D,L,L, , , ,E,E,L,L, , , 
M,E,D, , , ,L,L,L,L,L,L, , , ,D,D,D,D,L, , , , , , ,D,L,L
N,E,E,E,L, , , ,E,E,D,D,L,L, , , , , , ,D,D,L,L,L,L, , , 
O, , , ,E,D,L,L,L,L, , , ,E,L,L,L,L,L, , , ,D,D,D,L, , , 
P,E, , , , , , ,L, , , , , , ,E,L,L, , , , ,D,D, , , ,E,E
Q,E, , , , , , ,D, , , , , ,D, , , , ,D, , ,D,D,D,D,D, , 
R,D, , , , , , ,D,D,L, , , , , , , , , , , ,L,L,L,L,L, , 
