NurseID: [A B C D E F G H I J K L M N O P Q R S T U V W X Y Z AA AB AC AD AE AF AG AH AI AJ AK AL AM AN ] 
 
PlanningHorizon: 84
Days: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 ] 
 
NumWeekends: 12
Weekends: [1 2 3 4 5 6 7 8 9 10 11 12 ] 
 

ShiftID: [E d1 d2 L N ] 
ShiftLength: [480 480 480 480 600 ] 
ForbiddenShifts: 
[ 
NA NA NA NA NA
E NA NA NA NA
E NA NA NA NA
E d1 d2 NA NA
E d1 d2 L NA
] 

DaysOff: 
[[22 23 24 34 74 75 76 77]
[13 28 29 35 41 64 65 66]
[16 17 18 50 51 58 59 68]
[11 12 13 14 15 16 36 81]
[32 33 34 35 43 44 45 53]
[27 28 29 30 31 32 33 34]
[47 48 49 50 53 54 55 56]
[40 41 55 56 57 58 66 80]
[13 36 40 41 42 43 44 57]
[31 32 33 34 59 60 61 62]
[7 8 9 10 74 75 76 77]
[8 64 65 66 72 73 74 75]
[8 9 10 11 12 41 42 43]
[25 26 27 28 29 30 67 68]
[2 3 4 5 6 14 15 22]
[25 26 27 28 29 30 64 65]
[23 24 25 33 34 35 36 59]
[41 50 53 54 55 56 57 58]
[1 2 3 4 5 12 13 59]
[4 5 6 7 18 19 20 30]
[20 21 22 42 43 44 74 75]
[17 18 19 20 21 26 27 30]
[23 24 31 32 48 49 81 82]
[23 24 25 28 29 52 53 84]
[34 35 36 53 56 57 64 65]
[17 18 53 54 60 80 81 82]
[48 49 73 77 78 79 80 81]
[26 27 28 29 30 31 60 61]
[22 23 50 51 52 53 79 80]
[40 41 42 43 44 45 46 47]
[11 12 13 14 49 50 51 52]
[4 5 6 7 8 53 54 55]
[21 22 23 24 25 26 27 28]
[7 8 9 10 11 21 29 58]
[20 32 33 34 35 36 37 79]
[2 3 4 5 55 58 68 69]
[18 57 58 59 60 61 83 84]
[37 51 52 53 54 55 56 57]
[30 53 54 55 59 60 61 62]
[60 61 62 63 64 65 66 67]
] 

MaxShifts: 
[84 84 0 0 12
84 84 0 0 0
84 84 21 0 0
84 0 21 84 12
84 84 0 0 0
0 84 0 0 0
84 84 21 84 0
0 84 21 84 12
84 84 21 0 0
0 84 21 84 12
84 0 0 84 12
84 84 0 84 0
84 0 0 84 12
84 84 21 0 12
84 84 21 84 0
84 84 0 84 0
84 0 21 84 12
84 0 0 0 12
84 84 0 84 12
84 84 0 0 0
84 84 21 0 0
0 84 21 0 0
84 0 0 84 0
84 84 21 84 0
84 84 0 84 12
0 84 0 84 12
84 84 21 84 12
84 84 21 84 0
84 84 0 84 0
84 0 21 0 0
84 84 20 84 12
84 0 0 0 0
84 0 20 84 12
84 84 20 0 12
84 84 11 0 0
84 84 0 84 0
84 84 0 0 7
84 84 11 84 7
84 84 11 0 0
84 84 11 0 0
] 

MaxTotalMinutes: [25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 25920 24300 24300 24300 24300 14220 14220 14220 14220 14220 14220 ] 
MinTotalMinutes: [24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 24960 23340 23340 23340 23340 13260 13260 13260 13260 13260 13260 ] 
