NurseID: [A B C D E F G H I J K L M N O P Q R S T U V W X Y Z AA AB AC AD AE AF AG AH AI AJ AK AL AM AN AO AP AQ AR AS AT AU AV AW AX AY AZ BA BB BC BD BE BF BG BH BI BJ BK BL BM BN BO BP BQ BR BS BT BU BV BW BX BY BZ CA CB CC CD CE CF CG CH CI CJ CK CL CM CN CO CP CQ CR CS CT CU CV CW CX CY CZ DA DB DC DD DE DF DG DH DI DJ DK DL DM DN DO DP ] 
 
PlanningHorizon: 28
Days: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 ] 
 
NumWeekends: 4
Weekends: [1 2 3 4 ] 
 

ShiftID: [a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 p1 p2 p3 p4 p5 n1 n2 n3 ] 
ShiftLength: [480 480 480 600 720 480 480 480 600 720 480 480 480 600 720 480 600 720 ] 
ForbiddenShifts: 
[ 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 NA NA NA NA NA NA NA NA
a1 a2 a3 a4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
a1 a2 a3 a4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
a1 a2 a3 a4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
a1 a2 a3 a4 a5 NA NA NA NA NA NA NA NA NA NA NA NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 NA NA NA NA NA NA NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 NA NA NA NA NA NA NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 NA NA NA NA NA NA NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 NA NA NA NA NA NA NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 NA NA NA NA NA NA NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 p4 p5 NA NA NA NA NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 p1 p2 p3 p4 p5 NA NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 p1 p2 p3 p4 p5 n3 NA NA
a1 a2 a3 a4 a5 d1 d2 d3 d4 d5 p1 p2 p3 p4 p5 n3 NA NA
] 

DaysOff: 
[[1 25]
[27 28]
[10 11]
[22 23]
[10 11]
[22 23]
[2 3]
[3 17]
[15 25]
[23 24]
[3 4]
[15 16]
[17 23]
[4 15]
[11 12]
[21 25]
[11 12]
[8 9]
[12 13]
[8 9]
[27 28]
[3 4]
[17 18]
[24 25]
[15 26]
[15 26]
[12 13]
[4 14]
[2 10]
[15 25]
[8 26]
[1 14]
