,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,E,E,E,E, , , ,D,D,D,D,D, , ,E,D,D,D, , , ,D,D,D,D,D, , 
B,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L, , , , 
C,L,L,L,L,L, , ,D,D,D,L,L, , ,D,D,D,D,L, , , , , ,L,L, , 
D,D,D,D, , , ,D,D,D,D,D, , , ,E,D,D,D,D, , ,D,D,D,D,D, , 
E,D,D,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , , , , ,E,D, , 
F,L,L,L,L, , , ,L,L,L,L, , , ,L,L,L,L,L, , ,E,E,E,E,L, , 
G,E,E,E,L,L, , ,L,L,L,L,L, , , , , ,E,E, , ,L,L,L,L,L, , 
H,L,L,L,L,L, , , , , ,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , 
I,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , , , , ,D,D,D,D,D, , 
J,E,E,E,L,L, , ,L,L,L,L,L, , , , ,L,L,L, , ,L,L,L,L,L, , 
K,D,D,L,L, , , ,D,D,L,L,L,L, , , , , , ,L,L,L,L,L,L, , , 
L,E,D,D,D, , , ,E,D,D,D, , , ,D,L,L,L, , , ,E,E,D,L, , , 
M,E,D, , , ,L,L,L,L,L,L, , , ,D,D,D,D,D, , , , , , ,D,L,L
N,D,L,L,L, , , ,E,E,D,L,L,L, , , , , , ,D,D,L,L,L,L, , , 
O, , , ,E,D,L,L,L,L, , , ,E,L,L,L,L,L, , , ,E,D,L,L, , , 
P,E, , , , , , ,L, , , , , , ,E,D,L, , , , ,D,D, , , ,E,E
Q,E, , , , , , ,E, , , , , ,D, , , , ,D, , ,D,D,D,D,D, , 
R,D, , , , , , ,L,L,L, , , , , , , , , , , ,L,L,L,L,L, , 
