,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
A,L,L,N,N,N, , ,D,D,L,L,L, , , , , , , , , ,D,L,L,N,N, , ,L,L,L,L,L, , ,D,D,E,D,E, , 
B, ,N,N, , , , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,N, , ,D,D,D,D, , , 
C,E,E,D,D,D, , ,E,D,D,L, , , ,E,L, , , , , ,D,D,D,L,L, , ,E,D,D,D,L, , ,E,E,E,D,N, , 
D,D,L,L,L, , , ,D,D,D,D,L, , ,D,D,D,L, , , , ,L,L,L,L, , ,D,D,D,D,D, , ,D,L,L,L,L, , 
E,E,E,D,D, , , ,D,D,L,L,L, , ,D,L,L, , , , ,D,L,L,L,L, , ,D,D,D,D,D, , ,D,D,D,D,E, , 
F,D,D,D,L, , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,D,D,L, , , , ,D,D,D,D,D, , ,D,D,D,D,L, , 
G, ,L,L,L,N, , ,L,L,L, , , , ,D,D,D,D,D, , ,D,D,D,D,D, , ,N,N,N,N, , , ,D,L,L,L, , , 
H,L,L,L,N,N, , ,D,D,E,D,E, , ,D,E,L,L,L, , ,E,E,L,L,L, , ,D,E,E,L,L, , , , , , , , , 
I, ,E,D,E,D, , ,E,D,E,D,E, , ,E,D,N,N,N, , ,E,D,D,D,D, , , ,D,D, , , , ,E,D,D,D,D, , 
J, , , ,D,E, , ,D,E,D,L,L, , ,D,D,D,E,E, , ,D,L,L,L,L, , ,N,N,N, , , , ,E,E,L,L,L, , 
K,D,L, , , , , ,D,E,L,L,L, , ,E,L,L,L,L, , ,D,D,E,E,D, , ,D,E,L,L,L, , ,D,D,D,D,D, , 
L, , , ,L,N, , , ,L,N,N,N, , ,E,D,D,D,D, , ,L,L,N, , , , ,L,L,L,L,L, , ,D,E,D,D,E, , 
M,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , , , ,D,D,D,D,D, , , ,D,D,D,D,D, , 
N,D,N, , , , , , ,D,D,E,N, , ,E,D,D,E,D, , ,D,D,E,D,E, , ,E,E,D,N,N, , ,D,E,D,N, , , 
O,L,L,L,L,L, , ,D,D,D,D,D, , , , , , , , , ,D,D,D,D,D, , ,D,D,D,L,L, , ,L,L,L,L,L, , 
P, ,D,D, , , , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,N,N,N, , , ,D,D,D,D, , 
Q,L,L,L,L,L, , ,L,L,L,L,L, , ,D,L,L,L,L, , ,D,L,L,L,L, , , ,D,D, , , , ,D,D,D,D,D, , 
R,D,E,E,D,D, , ,D,D,D,D,E, , ,D,D,E,D,E, , ,E,D,N,N,N, , , , , , , , , ,D,D,D,E,D, , 
S, ,E,E,D, , , , ,N,N,N,N, , ,D,E,L,L,L, , ,L,L,L, , , ,L,L,L,L,L, , , ,D,L,L,L,L, , 
T,D,D,D,D,D, , ,D,L,L,L,L, , ,D,L,L,L,L, , ,D,D,D,D,D, , , ,D,L, , , , ,D,D,L,L,L, , 
U, , , , , , , ,D,D,D,L,L,L, , , , , , , , ,D,D,L,L,L,L, , , ,L,L,L,L,L,L, , , , , , 
V,E,L,L,L,L, , , ,E,E, , , ,E,D,L,L,L,L, , , ,D,E,D,E,D,D, , , ,D,L, , , ,L,L,L,L, , 
W, ,D,L,L,L, , , , , , ,D,D,D,L,L,L, , , ,D,D,L,L,L, , , ,D,N,N,N, , , ,L,L,L,L,N,N, 
X, , , , , , , ,D,E, , , ,D,D,E,D,D,D, , , ,E,E,D,E,D,D, , , , , , , , , ,D,D,D,E,D,D
Y, , , ,E,D,D,E,E,E, , , , ,E,D,D,D,D, , , ,E,D,D,D, , , ,D,D,E,E, , , ,D,D,D,D,D,E, 
Z,D,E,D,E, , , ,D,E,E,N, , , ,E,D,D,D,D,D, , , ,D,D, , , ,D,E,D,E,N,N, , , , , ,E,E,E
AA,D,D,D,D, , , ,D,L,L,L,N,N, , , ,D,D,N,N,N, , , , , , ,D,D,L,L,L, , , ,D,L,L,L, , , 
AB,D, , , , , , ,D, , , , , , , ,E, , , , , ,E, , , , , , ,D,E,D,D, , ,D,E,D,D,D, , , 
AC,D, , , , , , ,L, , , , , , ,D, , , , , , ,L, , , , , , ,L,L,L,N,N, , , , , ,D,D,D,D
AD,L, , , , , , ,L, , , , , , ,L, , , , , , ,L, , , , , , ,E,L,L,L, , , ,E,E,D,D,D, , 
AE, , , , , , , ,D, , ,L, , , ,D, , , , , , , ,E, , , , ,D,D,E,L, , , , ,D,D,D,D,L, , 
AF,E, , , , , , , , , , ,D, , ,D, , , , , , ,D, , , , , , ,D,E,D,D, , , ,D,D,D,D,D, , 
