,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,d1,d1, , , , , , ,L,L,L,L, , ,L,L,L,L,L, , ,d1,d1,d1,d1,d1, , 
B,L,L,L,L,L, , ,E,L,L,L,L, , , , ,L,L,L, , ,L,L,L,L,L, , 
C,d1,d1,L,L,L, , ,d1,L,L,L,L, , ,E,d1,d1,d1,L, , ,d1,L, , , , , 
D,L,L,L,L, , , ,L,L,L,L, , , ,L,L,L,L,L, , ,d1,L,L,L,L, , 
E,E,L,L, , , , ,E,E,L,L,L, , ,E,E,E,E,E, , ,L,L,L,L,L, , 
F,N,N, , ,L,L,L,L,L, , ,d1,L,L,L,L, , , , , ,d1,d1,d1,d1,L, , 
G, , , ,d2,N, , ,L,L,L,N, , , ,L,L,L,N,N, , ,E,E,L,L,L, , 
H,d1,d1,d1,d1,d2, , ,d1,d1,d1, , ,d1,d1,d1,d2,d1, , , , ,d1,d1,d2,d2,d1, , 
I,E,E,N,N,N, , , ,E,d1,d1,d1, , ,E,d1,d1,d1,N, , , , , ,d1,d1, , 
J,L,L,L,N,N, , ,L,L,L,L,L, , ,d1,d1,d1,L,N, , , , , ,d1,d1, , 
K,d1,d1, , , , , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,N, , , ,N,N,N,N, , 
L,E,L,L,L,L, , , , ,E,d2,L, , ,E,d2,L,L,L, , ,d1,d2,L,L,L, , 
M,E,E,E, , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,d1,L,L,L, , 
N,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , , , , ,L,L, , 
O, , ,L,L, , ,E,E, , ,d2,L, , ,E,L,L,L,L, , ,E,L,L,L,L, , 
P, , , ,E,L, , ,d1,d1,d1,L,N, , ,d1,L,L,L,N, , ,E,L,L,L,L, , 
Q,E,d1,d1,L,L, , ,d1,d2,d2,L,L, , ,L,L,L,L,L, , , ,E,L, , , , 
R,d1,d1,d1, , , , ,d2,d1,d1,d2,d1, , ,E,d1,d2,d1,d1, , ,d1,d1,d1,d1,d1, , 
S,E,L, , , , , ,E,E,L,L, , , ,d1,L,L,L,L, , ,d1,d1,L,L,L, , 
T,L,L,L,L,L, , , , , ,d2,L, , ,L,L,L,L,L, , ,d2,L,L,L,L, , 
U, , , ,L,L, , ,E,L,L,L,L, , , ,E,E,L,L,L, , ,d2,L,L,L, , 
V,d1,d1,L, , , , ,L,L,L,L,L, , ,d2,d1,L,L,L, , ,E,L,L,L,L, , 
W,d1,d1,d1,d1, , , ,d1,d1,d2,d1, , , ,E,d1,d1,d1,d1, , ,E,d1,d1,d1,d2, , 
X,E,d1,d1,d1, , , ,E,E,E,E,d1, , ,E,E,E,E,d1, , ,d1,d1, , ,E,d1, 
Y,d1,d1,L,L,L, , ,E,L,L,L,L, , , , , ,d2,d1, , , , , ,L,L,L,L
Z, , , ,L,N, , ,d1,L,L,N,N, , ,L,L,L,L,L, , ,d2,d1,L,L,L, , 
AA,L,L,L, , , , ,d1,d1,d1,L,L, , ,L,L,L,L,L, , , ,L,L,L,L,L, 
AB,E,d1,d1,d2, , , ,E,d1,d1,d1,d1, , ,E,d2,d1,d1,d1, , ,d1,d1,d2,d1, , , 
AC,d1,L,L, , , , ,d1,d1,d1,L,L, , ,E,d1,L,L,L, , ,E,E,d1,d1,L, , 
AD, , ,L,L,L,L,L, , ,L,L,L, , ,L,L,L,L,L, , ,L,L, , ,d2,L,L
AE,d1,d2,d1,d1, , , ,L,L,L,L,L, , , , ,d1,d1,L, , ,d1,L,L,L,L, , 
AF,E,L,L, , , , , ,d2,L,L,L, , ,L,L,L,L,L, , ,d2,L,L,L,L, , 
AG, , ,E,E, , ,E,E, , ,E,E,E,E,E, , ,E,E, , ,E,E,E,E,E, , 
AH,E,E,L,L,L, , , , , ,L,L, , ,E,L,L,L,L, , ,E,E,E,E,E, , 
AI,d1,d1, , , , , ,E,E,d1,d1,L, , ,L,L,L,L,L, , ,E,E,L,L,L, , 
AJ,L,L, , , , , ,d2,L,L,L,L, , , , ,L,L,L,L,L, , ,E,E,d1,L,L
AK,d2,d1, , ,d1,d1,L,L,L, , , , , ,d1,d1,L,L, , ,E,d1,L,L,L, , , 
AL,L,N, , , , , ,d1,d2,N,N,N, , ,L,L,L,L,L, , , , , , ,d2,L,L
AM, , ,E,E,E, , , , , ,E,E, , ,N,N,N,N,N, , ,E,E,E,E,E, , 
AN,d1,d1,d1, , , , , ,L,L,L,L, , ,E,E,d1,d2,L, , ,d1,L,L,L,L, , 
