,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,E,E,E, , , , ,N,N,N,N,N, , , , ,L,L, , , ,E,D,L,L,L, , 
B,E,L,L, , , , ,D,L, , , , , ,E,L,L,L,L, , ,D,L,L,L,L, , 
C,L,L, , , , , ,E,E,L,L,L, , ,D,L,L,L,L, , ,E,L,L, , , , 
D,D,D, , , , , ,L,L,L,L, , , , ,L,L,L,L, , ,L,L,L,L,N, , 
E,D,D, , , , , ,D,D,D,D, , , ,E,E,E, , ,E,D,D, , , ,D,D,D
F,E,D, , , , , ,E,D,D,D,D, , , , ,D,D,N, , ,E,E,E,N,N, , 
G,D,D, , ,D,D,D, , , , , , , ,E,E,D,D,D, , ,D,D,D,D,D, , 
H,D,D, , , , , ,E,D,L,L, , , ,D,L,L,N, , , ,L,L,L,L,N, , 
I,L,L,L,L, , , , , , ,L,L, , ,L,N,N,N, , ,D,L,L,L,N, , , 
J, , , , , , , ,E,E,E,D,L, , ,L,L,L,L,L, , , , , ,E,N,N,N
K, , , , , , , ,L,L,L,L, , , ,L,L,L,L, , , ,E,L,L,L, , , 
L,E,E, , , , , , ,L,L, , , , ,L,L,L,L, , , ,E,E,L,L, , , 
M,D,L, , , , , ,D,L,N,N, , , ,L,L,L,L, , , , , ,L,L, , , 
N,E,L,L, , , , ,L,L,L,L, , , ,D,L,L,N, , , , , , , , , , 
O,E,L, , , , , ,D,L, , , , ,D,D,L,L, , , , ,N,N,N,N, , , 
P,D,N, , , , , , ,E,E, , , , ,E,D,D,D, , , ,N,N,N, , , , 
Q,D, , , , , , ,D,D,D,L,L, , , , , , , , , ,D,L,L, , , , 
R,L, , , , , , ,L, , , , , , , , ,L,L,L,L, , , ,D,D,L, , 
S,D, , , , , , ,E, , , , , , ,D,D, , , , , ,E,E,E,E,E, , 
T,L, , , , , , ,L, , , , , , ,D,L,L, , , , ,L,L,L,L, , , 
U, , , , , ,E, , , , , , ,D, , , ,E,L, , , ,L,L,L,N,N, , 
V,E, , , , , , ,E, , , , , , ,D,D,D,D, , , ,E, , ,N,N, , 
W, , ,L, , , , ,L, , , , , , , ,L,L, , , , ,L,L,L,L,L, , 
X,E, , , , , , ,E, , , , , , ,D,L, , ,N, , , ,E,E,E,L, , 
Y,L, , , , , , ,L, , , , , ,E,E, , , , , , ,E,D,D,D,L, , 
Z,D, , , , , , , , ,E, , , , ,E,E, , , , , ,E,E,D,D,D, , 
AA,L, , , , , , ,L, , , , , , ,L, , , , , , ,L,L, , , , , 
AB, ,D, ,D, , , , , , , , , , , , , , , , , , , , , ,D,D,D
AC,L, , , , , , , ,D, , , , , ,D, ,L, , , , , ,N, , , , , 
AD,D, , , , , , ,E, , , , , , , , , , , , , ,E,E,E, , , , 
AE,E, , , , , , ,E, , , , , , , ,L, , , , , ,L, , , , , ,D
AF,E, , ,D, , , ,L, , , , , , , , , , , , , , , , , , ,L,L
AG,D, , ,D, , , ,D, , , , , , ,L, , , , , , ,D, , , , , , 
AH,D, , , , , , ,E, , , , , , ,L, , , , , , ,D, , , , , ,D
AI,D, , , , , , ,L, , , , , , , ,D,L,L, , , , , , , , , , 
AJ, ,L, , , , , , , , , ,E, , , , , ,L, , , ,L, , , , , ,E
