,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A, , ,a1,a1,p2,p3, , , ,p3,p2,p3, , ,a3,a2,p3,p2,p2, , ,a3,p2, , , ,d2,p3
B,p2,p1,p2,p1, , , ,p1,p1,p2,p2,p1, , ,p1,p2,p2,p2,p2, , ,p2,p2,p2,p2, , , 
C,d3,p2,p1, , , ,d2,d3,d3, , ,d3,p1,p1,p2,p1, , , , , ,p1,p2,p2,p1,p2, , 
D,p3,p2,p2,p3, , , ,a2,a1,d3,p2, , ,d2,p3,p3,p3,p2, , , ,a3,d3,d3,d2,d2, , 
E, , , ,d2,p1, , ,a1,a1,a1,p2,p1, , ,a3,a3,p1,p1,p1, , ,d2,d1,d2,d3,p2, , 
F,n1,n1,n1,n1, , , ,d1,d2,d2, , ,p1,p2,p1,p2, , , , , ,p1,p2,p2,p2,p1, , 
G,d2,d1,d1, , , , ,a1,p2,p1,p2,p1, , ,p1,p1,p1,p2,p2, , ,p2,p2,p1,p1,p1, , 
H, , ,p3,p1,p2,p2,p1, , ,a3,a3,p1,p3,p3, , ,p2,p2,p3, , , , ,p3,p1,p3, , 
I, , ,p2,p2,p2,p2,p2, , ,p2,p2,p2, , ,a2,p2,p2,p2,p2, , ,p2,n1, , ,d2,d2,d3
J,p1,n1,n1,n1,n1, , ,p1,p1, , , , , ,d2,d2,p1,p1,p3, , ,p1,p3,p1,p1,p3, , 
K, , ,a2,d3,p2, , ,a2,d3,d2,p2,p2, , ,d2,p2,p2,p2,p2, , ,d2,d3,d3,d2,d2, , 
L,d2,p2,n1,n1,n1, , ,a3,d2,d2,d2,p2, , ,p2,p2,p2,p2,p2, , ,d2,p2,p2, , , , 
M,d2,p2,p2,p2, , , ,a2,p1,p2,p1,p1, , ,a3,a2,d2,p1,p1, , ,a3,d3,p2,p2, , , 
N,d1,d2,d1, , , , ,a3,p3,p3,p3,p3, , ,a1,d3,d2,p1,p3, , ,d1,p1,p1,n1,n1, , 
O,a2,d2, , , , , ,p3,n1,n1,n1,n1, , ,a1,d2,p2,p2,p3, , ,a2,p2,p2,p2, , , 
P,d1,d1,p2,p2,p2, , , , ,p2,p2,p2, , ,a3,d1,d1,d1,p2, , ,n1,n1,n1,n1, , , 
Q,p1,p1,p3,p1,p1, , ,p1,p1, , , , , ,d2,p1,p1,p3,p1, , ,p3,p3,p3,p3,p1, , 
R,d3,p2,p1,p1,p1, , ,p2,p2,p2,p1,p1, , ,a2,p1, , , , , ,p1,p1,p2,p1,p1, , 
S, , ,a3,p2,p2, , ,a3,a3,a3,p3,p1, , , , ,a3,p1,p3, , ,a1,a3,p2,p1,p3, , 
