,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A, , ,a2,a1,p1,p2,p4, , ,d1,p3,p2, , ,a2,p2,p1,p1,p2, , ,d5,p3, , , ,p2,p2
B, ,p2,p3, , , , ,d2,p1,p1,p3,p2, , ,p1,p2,p2,p3,p3, , ,p2,p3,p3,p3,p5, , 
C,p2,p4,p2,p4,p2, , ,a2,a2, , , , , ,a3,a3,d3,d3,d3, , ,a1,d3,p4,p2,p2, , 
D, ,d3,d2, , , , , ,d2,p3,p5,p3, , ,d4,p5,p3,p5,p3, , , , ,d2,d3,p3,p3,p3
E, ,p2,p3,p5,p2, , ,a3,d4, , , , , ,a4,d1,d1,d3,p1, , ,a3,p1,p3,p3,p5, , 
F, ,p3,p4,p2,p2, , ,a3,d2,d1,d1,d2, , ,d2,p3,p3,p3,p3, , , , ,a3,p3,p3, , 
G, , , ,p3,p1,p3,p2,p3, , ,d4,p3, , ,a3,a3,a3,d1,p1, , ,d2,d2,d4,p1,p3, , 
H, , , ,d2,d2, , ,a2,p3,p4,p1,p1, , ,d1,d2, , ,a2,a2,p3,p1,p3, , ,a4,a4,p3
I, ,a5,p1,p1,p4, , , ,p3,p2,p1,p3, , , ,p1,p3,p4,p5, , ,a4,d2, , , ,p1,p1
J,n2,n2, , , , , , ,p2,p4,p5,n3, , ,a1,a3,p5,p2,p2, , , , , ,d3,d1,p2,p3
K,p1,p1, , , , , ,a1,d3,d1,d2,d3, , ,a2,d1,p2,p1,p2, , ,p1,p1,p1,p2,p2, , 
L, ,a2,d3,d3,d1, , , ,d3,d1,d2,d3, , , , ,a4,a5,p4,p4,n1, , ,a3,a1,a1, , 
M, ,a1,a1,a1,a3, , ,a1,a5,p1,p4,p1, , ,d2,d2, , ,a3,d2,d1,p1, , ,a1,d1, , 
N, ,p4,p2, , , , ,d3,p4,p1,p3,p1, , , ,p1,p2,p2,p4, , ,a3,a5,p3,p3,p1, , 
O, ,p4,p4,p1,p4, , , ,p3,p1, , , , ,d4,p1,p1,p4,p4, , ,p3,p4,p1,p1,p1, , 
P,d2,p3,p2,p3,p3, , ,a2,p1,p1,p2,p1, , ,a4,d3,p2,p3,p3, , ,p2,p1, , , , , 
Q, ,p4,p1,p1,p5, , , ,p2,p4, , , , ,a1,a2,a5,p3,p3, , ,a2,a3,a2,p3,p1, , 
R, ,p4,p3,p2,p2, , , , , ,p3,p2,p3,p4, , ,p5,p3,p3,p2,p3, , ,d1,d1,d5, , 
S, ,a5,p3,p4, , , , ,d3,d1,p2, , , ,a3,p3,p2,p3,p4, , ,a4,p4,p3,p3,p3, , 
T, ,a1,p1,n1,n2, , , , ,a3,a1,d1, , ,p1,p3,p3,p1,p3, , ,a1,p5,p3,p1,p1, , 
U, ,p5,p2, , , , , ,a3,d4,d4,d3, , ,p2,p2,p1,p2,p1, , ,d4,p2,p3,p2,p1, , 
V,d1,p2, , ,a1,a1,p4,p5,p2, , ,a1,a1,a3,a3,p1, , , , , ,p2,p2,p1,p1,p1, , 
W, ,p4,p3,p3,p3, , ,p3,p3,p5,p3,p5, , ,a1,d2, , , , , ,d2,p3,p3,p3,p3, , 
X, ,p2,p4, , , , ,d1,p3,p2,p2,p3, , ,d1,d3,d1,p2,p2, , ,d1,d3, , ,d3,d5,p4
Y,a1,d2,p2,p1,p3, , ,a2,p1,p2,p2,p4, , , , ,p2,p1,p2,p3,p3, , ,d2,d2, , , 
Z, ,d3,p3,p3,p3, , ,p3,p4,p5,p2,p2, , , ,d3,p4,p2,p3, , ,d3,p1,p1, , , , 
AA, ,d2,p2,p1, , , ,a2,d2,p3,p3, , ,d2,d4,d2,p2,p3, , , ,d2,d4,p1,p2,p2, , 
AB,p2,p2, , , , , ,a2,p2,p2,p3,p2, , ,a1,a2,a5,p4,n2, , ,d3,d3,p1,p1,p3, , 
AC, , , , ,n1,n3,n1,n2, , ,a2,a3, , ,d1,d1,p1,p1,p5, , ,p3,p5,p3,p1,p1, , 
AD, ,p2,p1,p3,p3, , ,a1,a2,d3,d1,p3, , , ,a4,a4,d2,d1, , ,d1,d3, , , ,d1,p3
AE, ,a2,a2,a1,d4, , , ,a2,a3,p1,p1,p1, , ,a2,p3,p2,p3,p1, , ,a2,a2,p2, , , 
AF, , , ,p4,p2, , ,a5,p2,p2,p2,p2, , , ,d4,d3,d1,d1, , ,a3,d3,a5,p2,p2, , 
AG, , , ,d3,d2,p3,p2, , ,d1,p1,p3,p1,n3, , ,d2,p2,p2, , ,d3,d2,d2,p3,p4, , 
AH,a1,a1,p3,p5,p3, , , ,a2,d1, , ,d1,d1,d1,d1,p3, , , , ,a1,p3,p3,p3,p3, , 
AI, ,d2,d2,p2, , , ,d1,d1,d2,d2, , ,a2,a2,d2,d1,d1, , , ,d2,p2,p2,p2,n3, , 
AJ, ,p2,p4, , , , , ,d1,d1,p2,n2, , ,a2,a1,d3,d5,p2, , , , ,a1,d1,d1,d1,p4
AK,a3,d4,p3,p2,p2, , ,a1,d4,p2,p3,p3, , , , ,d1,d1,d3, , ,d4,p3,p1,p1, , , 
AL, , , ,p5,n1,n2,n1, , ,a2,a1,a4,a3,d3, , ,d4,d3,d3, , ,d3,p5,n2,n1, , , 
AM, ,d5,p2,p1, , , ,a5,p4,p2,p2,p1, , ,d1,p2,p2,p2,p1, , ,p2,p1,p1, , , , 
AN, , , ,d2,p3,p1,p2, , , ,d5,p3, , ,a2,p2,p1,p2,p1, , ,a2,a3,a5,p1,p1, , 
AO, ,p1,p2, , , , , ,p5,p3,p5,p2, , ,p4,p3,p2,p1,p1, , ,d4,p1,p2,p2,p1, , 
AP,p1,p4,p4,p2,p2, , , , , ,d3,d5,p1,p4,p2, , ,a1,a4,d1,p2,p1, , , , , , 
AQ,p3,p2,p2,p4,p2, , ,p1,p2, , , , , ,a2,a1,d2,d2,p2, , , ,p3,p1,p1,p1,p1, 
AR, , ,d2,p3, , ,a2,d4,d1,d1,d1, , ,d1,p1,p3,p3,p1, , , ,d4,p1,p1,p3,p1, , 
AS, , , ,a1,p3,p2,p2,p1, , ,d3,d1, , ,d1,p2,p1,p3,p2, , ,p3,p4,p1,p1,p2, , 
AT, ,p4,p1,p1,p1, , , ,a2,p1,p1,p5, , ,a1,d2,p1,p1,p4, , , , , ,d2,p4, , 
AU, , , ,p1,p3, , , ,d2,p2,p2,p2, , ,p2,p1,p1,p1,p1, , ,d4,d2,p2,p2,p1, , 
AV, , ,a1,d2,d1,d2,d2, , , , , , , ,p3,p3,p5,p3,p1, , ,a3,d3, , ,p1,p3,p1
AW, ,p5,n2,n2, , , ,d2,d2,d3,d3,d2, , ,p4,p5, , ,a3,d1,d1,d1,d1, , , , , 
AX, ,p2,p2,p2,p2, , ,d3,p1,p4,p1,p1, , ,d1,d3, , ,d1,d1,d3,d1,d1, , , , , 
AY, ,p1,p3, , , , , ,d1,p3,p1,p1, , ,a3,d4,d4,d4,d1, , , ,p4,p3,p5,p1, , 
AZ, ,d2,p2,n1, , , , , ,d1,p2,p2, , ,d2,d2,d3,d2,d2, , ,d3,d1,d1,d3,d4, , 
BA, ,d3,p3,p3, , , , , ,p2,p3,p2,p3,p1, , ,d4,d3,p2, , ,p1,p3,p2,p2,p2, , 
BB, , ,a1,a3, , , , ,a1,p2,p3,p3, , , ,a3,a3,a1,d5, , ,d5,p2,n3,n1,n1, , 
BC, , ,a2,a4,d3,d2,d2, , ,a2,d2,d3, , ,a2,d4,d2, , ,a2,d2,p2,p2,p2, , , , 
BD,p2,p1, , , , , , ,p1,p1,p2,p1, , , ,d3,p1,p2,p4, , ,a5,p2,p2,p5,p1, , 
BE, ,a3,a2, , , , ,a3,a2,a3,d4, , , ,a1,d3,p3,p3,p1, , ,p3,p3,p3,p2,p2, , 
BF, ,a2,a1, , , , , , ,a4,p4,p1,p3, , ,d2,d2,d1,a5, , ,d1,p4,p2,p1,p2, , 
BG, , , ,p1,p2,p1, , ,d1,p1, , , , ,a1,p3,p1,p1,p5, , ,a3,a1,d1,d4,p5, , 
