,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,a1,a1,p2,p2,p2, , ,d2,p2,p1, , , , ,a1,p2,p1,p1,p1, , ,p2,p2,p2,p2,p2, , 
B,p2,p1,p2, , , , ,a1,p2,p1,p2,p2, , ,a2,p2,p2,p2,p2, , ,p2,p2,p2,p2,p2, , 
C,d2,p2,p1,p1, , , ,a2,d2,p1,p2,p1, , , ,d2,d2,p2,p2, , ,d2,d2,p1,p1,p2, , 
D,a1,d1,p1,p1,p1, , ,d2,p1,p1,p1,p1, , , , ,d1,d1,p1,p1,p1, , ,p1,p1,p1, , 
E,p2,p2,p1,p2,p1, , ,d2,d2, , , , , ,a2,p1,p1,p2,p2, , ,p2,p2,p1,p2,p1, , 
F,p2,p2,p2,p2,p2, , , , , ,a2,p2, , ,a2,a2,a2,a2,a2, , ,p2,p2,p2,p2,p2, , 
G,d2,p1,p1,p1,p1, , ,a1,d2,p1,p1,p1, , , , ,a1,a1,a2, , ,a2,a1,d2,p1,p1, , 
H,d1,d1,d1, , , , ,a1,p2,p1,p2,p1, , ,p1,p1,p1,p2,p2, , ,p2,p2,p1,p1,p1, , 
I,d2,d2,p1,p1,p2, , ,p1,p2,p2,p1,p2, , ,p2,p1,p2,p2,p2, , , , , ,d2,p2, , 
J,p2,p2,p1,p2,p2, , ,p1,p2,p1,p2,p1, , ,a2,a2,p1, , , , ,p2,p2,p2,p2,p1, , 
K, , , ,d1,d2,p2,p1,p1, , , ,d2,d2, , ,p1,p1,p2,p1, , ,d2,p1,p2,p2,p1, , 
L,a1,d1,d1, , , , ,a1,p1,p1,p1,p1, , ,d1,d2,d2,d1,d1, , ,a1,a1,a1,a1,a1, , 
M,a1,a2,a2,d2, , , ,p1,p1,p1,p2,p1, , , ,d1,p1,p2,p1, , ,a2,p2,p1,p2,p2, , 
N,a2,p2,p1,p2,p1, , ,a2,p2,p2,p1,p1, , ,p1,p1,p1,p2,p2, , , , ,p2,p1,p2, , 
O,p2,p2,p2,p2,p2, , ,a2,d2,d2,d2,d2, , ,d1,d2, , ,a2,p2,p2,p2,p2, , , , , 
P,p1,p2,p1,p2,p2, , ,a1,a1,a1,p2,p2, , ,a1,a1, , , , , ,p1,p2,p2,p2,p1, , 
Q,p1,p1,p1,p1,p2, , ,a2,p2,p1,p1,p2, , ,d1,d2,d1, , , , ,d2,d2,d2,d1,d2, , 
R,p2,p2,p2,p2,p2, , , , , ,p2,p2,p2,p2, , , ,d2,p2, , ,a2,p2,p2,p2,p2, , 
S,p2,p1,p1,p2,p2, , ,a1,a1,a1,p1,p2, , , , , ,d1,p1,p1,p1,p2, , ,p1,p2, , 
T, , , ,a1,p1, , ,p1,p1,p1,p1,p1, , ,a1,p1, , ,d1,d1,d1,p1,p1, , ,d1,p1,p1
U, , , ,d2,p2,p2,p2,p2, , , ,a2,d2, , ,p2,p2,p2,p2, , ,d2,d2,p2,p2,p2, , 
V, , , ,a2,d1, , ,p2,p2,p1,p1,p2, , ,p2,p2,p2,p2,p2, , ,d1,p2,p2,p1,p2, , 
W,d1,d2,d2, , ,d2,p2,p2,p2,p2, , , , ,p2,p2,p2,p2,p2, , ,p2,p2,p2,p2,p2, , 
X,p1,p2,p2, , , , ,p1,p2,p2,p2,p2, , ,p1,p2,p2,p1,p1, , ,d2,d2,d2,d1,d2, , 
Y,p2,p2,p2,p1,p2, , , , , ,p1,p1, , ,p2,p1,p1,p1,p2, , ,p1,p2,p1,p2, , , 
Z,p2,p2,p2,p1, , , ,d1,p2,p1,p1,p2, , ,a2,p1,p1,p2, , , ,d1,d1,p1,p1,p1, , 
AA,p2,p2,p2,p2, , , ,p2,p2,p2,p2,p2, , ,d2,p2,p2,p2,p2, , ,a1,d1,d1,d1, , , 
AB,p1,p1,p2,p2,p2, , , , , ,d1,d1, , ,a2,p2,p2,p2,p1, , ,d1,p2,p1,p1,p1, , 
AC, , , ,d1,d1,d1,p1,p1, , ,d1,d2, , ,d2,p1,p1,p1,p1, , ,a1,a1, , , ,d1,d1
AD,d2,p2,p1,p2,p2, , ,a2,a2,p1, , , , ,p1,p2,p2,p1,p1, , ,p1,p1,p1,p2,p2, , 
AE,a1,a1,a1,d2,d2, , , , , ,a2,a2, , ,a1,a2,a2,d2,d2, , ,a1,a1,a2,a2,a2, , 
AF,p2,p2,p1,p2,p2, , , , ,p1,p1,p2, , ,a1,p1,p1,p1,p1, , ,p2,p2,p1,p2,p2, , 
AG,p1,p1,p1,p1,p1, , , , , ,a1,a1, , ,p1,p1,p1,p1,p1, , ,a2,a1,p1,p1,p1, , 
AH,a2,d1,p1,p1, , , ,d1,p1,p1,p1,p1, , ,a1,a2,a1,d1,p1, , ,d2,d2,p1,p1, , , 
AI,d1,d2,p1,p1,p1, , ,p1,p1,p1,p1,p1, , , ,d2,d1, , ,d1,d2,d2,d2,p1, , , , 
AJ,p2,p2,p2,p2,p2, , ,p2,p2, , , , , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , 
AK,a2,p1,p1,p1, , , ,a2,d2,p1,p1, , ,d1,d1,d2,p1,p1, , , ,a2,d2,p1,p1,p1, , 
AL,d1,d1,d2,d1,d2, , , , , ,a1,a1, , ,d2,d2,d1,d1,d1, , ,d2,d1,d1,d2,d1, , 
AM, , , ,a1,a1, , ,p1,p1,p1,p1,p1, , ,p1,p1,p1,p1,p1, , ,d2,p1,p1,p1,p1, , 
AN,a2,p2,p2,p2, , , ,a1,p2,p2,p2,p2, , ,a1,a2,a2,d1,d2, , ,p2,p2,p2,p2, , , 
AO,d2,p2,p1,p2,p2,p2, , , , ,p2,p2,p1,p2,p1,p1, , , , , ,p1,p1,p1,p1, , , 
AP,a1,d2,d2,d2, , , ,d1,d2,d2,d1,d2,d2, , , ,d1,d1,d2,d2,d1,d1, , , , , , 
AQ,p2,p2,p1,p1, , , ,p1,p1,p1,p2,p2,p1, , , , , ,p2,p2,p1,p1,p2,p2, , , , 
AR,d1,d1,p2,p2, , , ,a2,a2,a1,a1,d1,d1, , , ,d1,p1, , , ,d1,p1,p1,p1, , , 
AS,a1,a1,d2,p2,p2,p2, , , ,d1,p2, , , ,d2,d2,d2,p2, , , ,d1,d2,d2,d1, , , 
AT, , , ,d1,p2,p2,p2,p2, , , , ,d2,d1,d2,d2,d2,p2, , , ,d1,p2,p2,p2,p2, , 
AU,p1,p2,p2,p1, , , ,p1,p2,p2,p1, , , ,p1,p2,p2,p1,p1,p1, , , ,d2,p1, , , 
AV,a1,p1,p1,p1,p1,p1, , , ,a1,p1,p1,p1,p1,p1, , , , , , ,a2,a1,d2,d2, , , 
AW,p2,p1,p1,p1, , , ,d2,p1,p2,p2, , , ,d2,p1,p1,p2,p1,p1, , , ,p1,p1, , , 
AX,d1,p2,p2, , , , ,d2,p1,p1,p1, , , ,d1,p1,p2,p2,p2,p2, , , , ,p2,p2,p1,p2
