NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
A,L,L, , , ,E,E,E,E,E, , ,D,D,D,D, , ,D,D,D, , ,D,D,D,D,D, , ,D,D, , , , ,D,L,L, , , ,E,E,D, , , , ,E,E,D, , , , 
B,E,D, , , , , ,E,E, , ,E,E,L,L,L, , ,L,L,L,L, , ,E,E,E,D, , ,D,L,L, , , ,E,E,E,E, , , , ,L,L,L,L,L, , ,E,D,D, , 
C, , ,E,E,E,E,L, , ,E,E,E,E,E, , ,E,E,E, , ,L,L, , , , , ,E,E,E,E,E, , ,E,E,L,L,L, , ,E,E,L, , ,L,L,L,L, , ,E,E,L
D, ,E,E,E, , , , , , ,D,D,D,D, , , , , , , ,D,D,D,D,D, , , ,E,D, , ,E,E, , ,D,D,D,D,D, , ,E,D,D,D,D, , ,E,D,D, , 
E,D,D,D,D, , , , , , , , , , ,D,D,D,D,L, , ,D,D,D, , ,D,D,D,L, , , ,D,D,D,D,D, , ,D,D,D,D,D, , , , ,D,D,L, , ,L,L
F,L,L,L, , ,E,E,E,D, , ,E,E,E,E,E, , ,E,E,D,D, , ,E,E, , ,D,D, , ,E,E,D,L,L, , , , , , , ,E,D,D, , ,E,E,E,E,E, , 
G, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L, , , , ,L,L,L,L, , , ,L,L, , , , ,L,L,L,L,L, , 
H,L, , ,E,D,L,L,L, , , ,E,D,L,L, , , ,E,D,D,L,L, , , ,E,E,D,D,L, , , , ,E,E,E,L,L, , ,E,E,E,E,E, , ,L,L,L,L,L, , 
I,D,D, , , ,D,D,D,D, , ,D,D,D,D,D, , , , , , , ,D,D, , , , ,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , ,D,D,D,D, , , ,D,D,D
J, ,D,D,D, , , ,D,D,D,D,D, , ,D,D,D,D, , , ,D,D, , ,D,D,L,L,L, , , , , , , , , , ,D,D,D, , ,L,L,L,L,L, , , ,L,L,L
K, ,E,D, , ,E,L, , ,E,E,E,D,D, , ,D,D,D,D,D, , , , , , , , ,E,E,E,D, , ,E,E,E,E,D, , ,D,D,D, , , , ,D,L, , ,E,E,E
L,D, , ,D,D,D,D,D, , ,D,D, , , , , , ,D,D,D,D, , ,D,D, , ,D,D,D,D,D, , ,D,D, , , ,D,D,D, , , , ,D,D,D,D,D, , , , 
M,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L, , , ,L,L,L, , ,L,L,L,L, , ,L,L,L,L,L, , , ,L,L,L,L,L, , , , , , , ,L,L,L,L
N,L, , ,E,D,L,L,L, , ,E,E,D,L, , ,E,E,E,L,L, , ,E,L, , , , , , ,D,L, , ,E,D,D,D, , , , , , , ,E,E,E,L, , ,E,E, , 
O,E,E,E,E,E, , ,L,L,L,L,L, , ,E,E,D,D, , , ,E,E,E,L,L, , , , , ,D,D,D,L, , ,E,E,E,E,E, , , , ,E,E,E,L, , , ,E,E,L
P,D,D,D,D,D, , ,D,D,D,L,L, , ,D,L,L,L, , , ,L,L,L, , ,D,D,L,L,L, , ,D,D,L,L, , ,L,L,L,L, , , ,D,D,D, , , ,D,D, , 
Q,D,D, , , ,D,D, , ,D,D, , , ,D,D,D,D, , , , , , ,D,D,D,D, , , ,D,D,D,D, , ,D,D, , , ,D,D,D, , ,D,D,D,D,D, , , , 
R,E,L, , , ,D,D,D,D,L, , ,D,D, , ,E,E,D, , ,E,E,E,E,L, , ,E,E,E, , ,E,E, , ,D,D,D,D,D, , ,D,D,L, , ,E,E,E,E,L, , 
S,E,E,E,E,E, , ,E,E,E,E,D, , ,E,E, , , ,E,E,E,D, , , ,E,E,E,D,L, , ,L,L,L, , , ,D,L,L, , ,E,E,E, , ,E,L,L,L,L, , 
T,E,D,D,D, , , ,E,E,D,L, , , , ,E,D, , , , , , ,E,E,E,L,L, , , ,E,E,D,D, , ,E,E,E,E,E, , ,E,D,D, , , , ,D,D,D,D,L
Problem status: Unfinished

The OM penalty = 3300
The Underworked penalty = 21900
The minimised penalty = 25200
Time elapsed: 3600s.
