NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
A,D,L,L,L,L, , ,D,D,D,D, , ,L,L, , ,D,L,L,L, , ,L,L,L, , ,L,L,L, , , , , , , , ,L,L,L,L, , ,D,D, , ,L,L,L,L,L, , ,L,L,L,L,L, , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,D,L,L,L,L
B, , ,E,E,E,L,L, , ,L,L,L,L,L, , ,E,E,E,L,L, , , ,E,L, , ,E,E,E,E,E, , ,E,E,E, , , , ,L,L,L,L,L, , ,E,E,E,E,E, , , ,E,L,L, , , ,L,L, , , ,E,E,L,L,L, , ,L,L,L, , ,E,E,E,E
C,E,E,E,E,E, , ,D,L,L,L,L, , ,L,L,L, , ,E,D,L, , ,D,D,D,D,D, , ,E,E,E,D,D, , ,E,E,E,E,E, , ,E,E,E,D,D, , ,E,L, , , , , , , , , ,E,E,E,E,E, , ,E,L,L,L, , , , , ,L,L,L,L,L
D, ,D,D,D, , , , , ,E,E,E,E,E, , , , , , , , , ,E,E,E, , , , ,E,E,E,E,E, , ,D,D,D,D,D, , ,E,E,E,E,D, , ,D,D,D,D,D, , ,E,E,E,E,E, , ,E,E, , , ,E,E,E,E, , , ,E,E,D, , , , 
E,D,L, , , ,D,D,L,L, , ,D,D,D,D,L, , ,L,L,L,L,L, , , , , ,D,D,L,L,L, , ,L,L,L,L,L, , ,D,D,D,L,L, , , ,D,D,D,D,D, , ,D,L,L,L, , , ,L,L,L, , , , , ,D,D,D,L,L, , ,L,L,L,L,L
F, ,D,D,L,L, , ,D,D,L,L,L, , ,L,L,L, , ,L,L,L,L,L, , ,L,L,L, , ,L,L,L,L,L, , , , , , ,D,L,L, , ,D,L, , ,L,L,L, , ,L,L,L, , ,L,L,L,L, , , , , , , ,D,D,D,D,D, , ,D,D, , , 
G,E,E,E,E,E, , ,E,E,L,L,L, , , , , , , ,D,L,L,L, , , ,E,D,L,L,L, , , , ,L,L,L,L,L, , ,E,E,E,L,L, , ,L,L,L,L, , , , ,L,L, , ,E,E,E, , ,D,L,L,L,L, , ,E,E,L,L,L, , ,E,E,E,E
H,L,L, , , , , , ,E,L,L, , , ,E,E,E, , ,E,E,E,D,L, , ,L,L,L, , ,D,D, , ,E,E,E,D,L, , ,E,D, , ,E,L,L, , , ,L,L,L,L,L, , ,E,E,E,E,L, , ,E,E,D,D, , ,E,E, , , ,L,L,L, , , , 
I,L, , ,E,E,E,E, , ,E,E,E,D,D, , ,L,L,L, , ,E,D,D,D,L, , ,E,E, , , , , , , , ,E,E,E,E,L, , ,E,L, , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E, , ,E,E,E,L,L, , ,E,E,D,L,L, , ,D,D
J,D,L,L,L, , , , , , , ,E,L,L, , ,E,E, , , , ,E,E,L, , , ,E,D,L, , ,E,E,L,L,L, , ,E,E,L,L,L, , ,E,E, , , ,L,L, , ,E,E, , ,L,L,L, , , ,E,L, , , , , ,E,E,E,E,E, , ,E,E, , 
K,E,E,D, , ,E,E,E,D,L, , ,E,E,L,L,L, , , , ,E,E,D, , ,E,E,L,L, , ,D,D,L,L,L, , , , , ,D,L,L,L,L, , ,E,E,E,E,E, , ,E,E,E,E,D, , ,D,D,L, , ,E,D, , ,L,L,L, , , ,E,E, , ,E,L
L,L,L,L,L,L, , ,E,E,E,E,E, , ,E,E,L,L,L, , , , , ,E,E,E,E,D, , ,E,D,D,L, , ,E,E,D,D,D, , , , , ,L,L,L,L, , ,E,E,D,L,L, , ,E,D,D, , ,D,D, , , ,E,E,E,L,L, , ,L,L,L,L,L, , 
M,L, , ,D,D,L,L, , ,D,D,D,L,L, , ,L,L,L, , ,D,D,D,D,L, , ,L,L,L,L,L, , ,D,L,L, , , , ,D,D,D, , ,L,L,L,L,L, , , , ,D,D,D,L, , , , , , ,D,D,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L
N,E,E,E,E,E, , , , ,E,E,E, , ,E,E, , ,E,E,L,L,L, , ,D,D,L,L,L, , , ,E,E,E,E,E, , ,E,E,E,E, , ,E,L,L,L,L, , , , , ,E,E,L,L,L, , ,L,L,L,L,L, , , , ,E,D,D, , ,E,L, , ,D,L,L
O,E,E,E,E,D, , ,E,E,E, , ,E,E,D,D,D, , ,D,D, , ,E,D, , , ,E,E,E,E,E, , ,E,E,D,D,D, , ,E,E,E, , ,E,E, , , , , , , ,E,E,E,E,D, , ,E,E,E, , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E
P,L,L,L,L,L, , ,E,E,E,D,D, , , ,E,E,D,D,D, , ,L,L,L,L, , ,E,E,D,L, , , ,E,E,E,E,E, , ,E,E,E,D, , ,E,E,E,E, , ,E,E,E, , , , ,L,L,L, , ,E,E,E,E, , , , ,E,E,E, , ,E,E,E, , 
Q, , , , ,E,E,E,L, , ,E,L,L,L, , , ,E,E,E,E,E, , ,E,E, , , , ,E,E,E,L,L, , ,E,L,L,L,L, , ,E,E,E, , , ,E,E,L, , , , , , ,L,L, , , ,E,L, , ,E,E,E,E,L, , , , , , , , , , , 
R,L, , ,L,L,L,L,L, , ,E,E, , ,E,E,E,E,L, , , ,L,L,L,L, , , , , , , , , ,E,E,E,E,E, , ,D,D, , ,D,D,D,D,D, , ,E,E,E, , ,E,E,E,E,E, , ,E,E,E, , ,E,L,L, , ,E,E,E,E,E, , ,E,L
S, , , ,D,D,D,D, , ,D,D,D, , ,D,D,D, , ,D,D, , , ,D,D,D,D, , , , , , , , , , , ,D,D, , ,D,D,D,D, , ,D,D,D,D, , , ,D,D,D,D, , , , ,D,D,D,D, , , ,D,D, , ,D,D,D,D, , , ,D,D
T,D,D, , ,E,E,D,D, , ,E,E,E,D, , ,D,D,D, , , ,E,E,E,E, , ,E,E,E,D, , , ,D,D,D,D, , , ,E,E,E, , ,E,E,E,D, , , , , ,E,E,E,E, , , ,E,E,E, , ,D,D,D, , , ,E,D,D,D, , ,E,E,E,E
U, ,L,L,L, , , ,L,L, , , , , ,E,L, , , ,E,E,E, , ,E,E,L,L, , ,D,D,L, , ,D,D,D,L, , ,L,L, , ,E,E, , , , , ,E,E,E,L, , , , , ,E,E,D,L, , , ,D,D,D, , ,E,E, , ,L,L, , , , , 
V, , , , , ,D,L,L,L, , ,L,L,L,L, , ,L,L, , ,D,L,L,L, , , ,D,D,D,D, , , , ,D,L,L,L, , ,L,L,L,L, , , , , , , , ,D,D,L, , ,L,L,L,L, , , , , ,L,L,L, , , , , , , , , ,D,D,D,D
Problem status: Unfinished

The OM penalty = 5288
The Underworked penalty = 30660
The minimised penalty = 35948
Time elapsed: 3599.7s.
