NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,D,D,L, , , , ,L,L,L,L,L, , , , ,N,N, , ,E,L, , ,E,E,N,N
B,D,D,D,L,L, , ,L,L, , , ,E,E,E,E, , ,D,D,D, , ,E,E,E, , 
C, ,E,E,E,L, , ,D,D,D,D, , , ,L,L,L,L, , , ,E,D,D, , ,D,L
D,L,L,L, , ,L,L, , ,N,N,N, , , ,L,L,L,L,N, , , ,D,D,D, , 
E,D,D,D,D,D, , ,D,D, , , ,E,D,D,D,D, , , , ,E,E, , ,E,E,E
F, , , ,E,N, , , ,E,E,E,D, , , , ,E,E,E,E,N, , ,E,E,D,N,N
G,D,D, , ,E,E,E,E, , ,E,D, , ,E,E,D,D,D, , ,E,E,E,D, , , 
H,L,L,L,L, , , ,N,N,N,N, , , , , ,E,E, , ,L,L, , ,E,E,L,L
I,L, , ,E,E,E,D,N, , , ,E,N,N, , ,L,N, , , ,E,E,L,L,L, , 
J,N,N,N, , , , , , ,L,L,L,L,N, , ,L,L,L, , , , ,E,E,E,E,E
K, , ,L,N, , , ,E,E,E, , , ,L,N,N, , , , , ,L,L, , , ,L,L
L,N, , , ,L,N, , , ,E,E,E, , , , , ,L,L,L,N, , , ,L,N, , 
M,L,L, , , ,L,L,L, , , , , , , ,D,D,D,D, , , , , ,D,D,N,N
N, ,E,E,E,E, , , , , ,N,N,N,N, , , , ,E,D,D,D, , , , , , 
O, , ,E,L,L, , , ,D,L, , , ,L,N, , , ,L,L, , , ,N,N,N, , 
P, , , ,E,D, , , , ,N,N, , , ,E,E, , , ,D,D,N,N, , , ,D,D
Q,L, , , , ,L,L, , , , ,D,D, , ,D, , ,D, , , , ,L, , ,D,L
R, , , , ,N,N,N, , , , ,L,L, , , , , , , , ,L,L,L,L,L, , 
S, ,N, , , ,D,D, , ,D, , , ,D,D,N, , ,N, , ,D, , , , ,D, 
T,L, , ,D, , ,D, , ,D, , , , ,L, , , , , , ,D,N,N,N, , ,D
U,E, , , , ,E, , ,N, , ,L, , , , , ,E,E,E,E,N, , , , ,N, 
V, , , ,D, , , ,D,D, , , , ,E,N,N, , , , ,E,N, , , , ,E,E
W, ,L,L,L, , , , , , , ,L,L,L, , , , , ,L,L, , ,L, , , ,L
X, , , , , ,L,L,L,L,L, , ,N, , , , , ,N,N, , , ,D,L, , , 
Y, , , , , , ,D,N,N, , , , , , ,L, , ,N, , ,E,D,D,D,L, , 
Z, ,D,D,D,D,D, , , , ,E,E, , , , , , , , , , , , , ,D,D,D
AA, , , ,L, , , , , , , , , ,L, , , ,L, ,L, , , , , ,L,L,L
AB, , , , , , , , , ,D, ,D, ,D, , , , , , , ,D, , , ,N,N, 
AC,D,D, , , , , , , , , , ,L, , , , , , , ,L,L, , ,D, , ,D
AD, , , , , ,E,E,E,E,E, , ,E,E, , , , , , , , , , , , , , 
AE, , ,D, , ,L, , , , , ,D, , , , , ,D, , ,D, , ,D, , , ,E
AF, , , , , , , , , , , , ,E,E,E, , , , , ,E,L,L, , , , ,D
AG, , , , , , ,E,D, , , ,E, , , , , , , , ,E,E,E, , , , ,D
AH,E,E,E, , , , , , , , , ,E, , ,E, , , ,D, , , , , , , ,D
AI, , , ,D, , , , , , ,D,D,D, , , , , , , , ,D,D, , , ,D, 
AJ, , , , , , , , , , , , , , ,L,L, , ,L, , , ,L,L,L,L, , 
Problem status: Unfinished,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The minimised penalty = 448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time elapsed: 17999.7s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
