NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A, ,a1,a1,a1,a1,a1, , , ,a2,d1,d1, , ,a2,a2,a1,a2,a3, , ,a1,p3, , ,a2,a3,a3
B,p1,p2, , ,a1,a2,a2,d3, , ,a2,a2,a2,a2,a2, , ,d1,d1, , ,a2,a1,a1,p2, , , 
C,d3,d3, , ,a3,d2,p2,p2, , ,p2,p2,p1,p1,p2, , ,a3,a3, , ,d3,p1,p2,p1,p1, , 
D,d1,d2,d2,d3, , , ,a1,a2,d3,d2, , , ,a2,d2,d2,d1, , ,p2,p2,p2,p3, , ,d1,d2
E, , ,p2,p1,p1, , ,d1,d1,d1,n1,n1, , ,d2,d3,d3,d3, , ,a1,p3, , ,a1,a1,d2,d3
F,d2,d1,d2,d2,d2, , ,p1,p1,n1, , ,a1,a1,a1,d1,d2, , ,d1,d2,d1, , ,a3,d2, , 
G,a3,d1,d1, , ,a3,a3,a3,a3,a3, , , , ,a1,a1,d1,d3,d3, , , ,a1,d1,d1,p2,p2, 
H,a3,a3,a3, , ,a3,a2,a1, , ,a2,p3, , ,d1,p3,p3,p3,p3, , , , ,a2,a2,a1,a1,a2
I, ,a2,a2,a2,a2, , , , ,p2,p2,p2,p2,p2, , ,a3,a3,d2,d2,d2, , , ,a3,a3, , 
J,d2,p3,n1, , ,a2,d3,d3,p1,p3, , , , ,a3,a2,a2,d2, , , ,n1,n1,n1, , ,d3,d3
K, ,d3,d3,p2,p2, , ,d2,d3,d3,d2,d2, , ,d2,p2, , , ,a3,a2,d3, , ,d2,d3,d2,d3
L,a1,d2,d2,d2,d2, , ,a1,a1,a1,n1,n1, , ,a3,a1, , , ,a1,a1,a1,d2, , , ,d2,d2
M,a2,a2, , ,d3,p1,p1,p1, , ,a2,a2,a2,a2,d3, , ,a3,d3, , ,d3,d3,d2,d2, , , 
N,d3,p3,p3, , ,a1,a1,p1, , ,d1,d1, , ,d2,p3, , ,d1,n1,n1,n1, , ,d3,d1, , 
O,p3,n1,n1, , ,p3,p2, , ,p3,p3,p3,p3,p3, , ,a1,a2,a2, , ,a2,a2,p2,n1, , , 
P,a3,a3,a3,a3,a3, , , , ,a3,a3,d1, , ,d1,d1,d1,d1, , ,d1,d1,d1,d1, , ,d1,d1
Q,p3,p3,p3, , ,p3,p3,p3,p3, , ,a3,p1,p1,p3, , ,a3,p1, , ,d2,d2,d2,d2,d2, , 
R,a2,a1,a2,a2,a3, , ,a2,p1,p1,p1,p2, , ,p1,p1, , , ,d3,d3, , , ,p2,p1,p2,p2
S,p2,p3,n1,n1,n1, , ,a1,p2, , ,p1,p1,p2,n1, , ,a1,a1,a3,a3,p2, , ,a1,a1, , 
T,n1, , ,p3,p3,p3,p3,p3, , ,a2,a2,a2,d2,n1, , , , , , ,p3,p3,p3,n1,n1, , 
U,a3,a1,a1,a1,a1, , ,a3,a1, , ,a1,a3,a3,a1, , ,d3,n1,n1,n1, , , ,p1,p2, , 
V,n1, , ,p2,p2,p2,p2,p2, , ,p3,n1, , ,a2,d3,d3,n1, , , ,a2,p2, , ,a3,p3,n1
W,p1,p1,p1,p1,p3, , ,a3,a3, , ,d2,d2,d2,d2, , ,p3,p3,p3,p1, , ,a1,a1,d2, , 
X,a1,a1,a3,a3,a1, , ,a1,p3, , ,a1,a1,a1,a1, , ,a1,a1,a1,d1,p3, , ,d1,p3, , 
Y,p2, , ,a1,a3,d3,d3, , ,a1,n1,n1, , , , ,a3,p2,p3,p3,p2, , ,p3,n1,n1, , 
Z,d1,d1,d1,d3,n1, , , , , ,a1,d2,p1,n1,n1, , ,d1,d1, , , , ,d3,d2,p1,p1,n1
AA,p2,n1,n1, , ,p2,p1,n1, , ,d3,d3,d3,d3,d3, , ,d3,n1, , ,a3,d3,d3,p3,p2, , 
AB,p3,p3,p2,p3,p1, , ,p3,n1, , ,d2,n1,n1,n1, , ,a1,a1, , ,a3,d2,p1,p1, , ,p1
AC,d2,d2,d1,d1,d2, , ,d2,d2,d2,d2, , , ,p2,p2, , ,a3,a3,a3,a3,d2, , , ,p1,p1
AD,d1,d1,d3,d2,d3, , ,d1,d1,d1, , ,d3,d3,d3, , ,d2,d1, , ,d2,d3, , ,d2,p1,p1
AE, , ,d1,d2,d2,d2,p3, , ,p3,p3,p1, , ,a2,d3,d3,d3,d3, , ,p1,p1,n1, , ,a2,d1
AF,a1, , ,d1,d1,d1,d1,d1, , ,a1,a1, , ,p1,n1,n1,n1, , ,d1,d1,n1, , , , , 
AG,p3,p2,p2,p3,p2, , ,n1,n1, , ,a1,a3,a3,p3, , ,a1,a3,d2,p2, , ,d3,d3,p1, , 
AH, ,a3,a3,a2,a2, , ,a2,a2,d2,d1,d2, , ,a3,a3, , , ,d1,d2,d1, , ,d1,d1,d1,d1
AI,a1,p1,p1,p2,p1, , ,p1,p2,p2,p2,p2, , , , ,a2,p2,p2,p2,p2, , , , , ,a2,a1
AJ,p1,p1,p1,p2,p3, , ,d2,d1,d3,d3, , ,a2,p1, , ,p1,n1,n1,n1,n1, , ,p3,p2, , 
AK,p1,p2,p3,p3,p3, , , , , ,d1,p3,p3,p3,p3, , ,a1,a1, , ,d2,d1, , ,a2,p3,p3
AL, , ,a2,d1,d3, , ,d3,d3,d2,d3,d3, , ,a1,a2,a3,d1, , ,a3,d2,p1, , ,a1,a3,a3
AM,a2,a2,a2,a2,d1, , ,d2,d1, , ,p3,p3,p1,p3, , ,p1,p1,p1,p1,p1, , ,d1,p3, , 
AN, ,a2,a2,a3,d1, , ,a2,a3,a3,a3,a3, , , , ,p1,p1,p1,p1,p3, , , ,p3,p3,p2,p3
AO, ,p3,p3,n1,n1,n1,n1, , , ,a1,d3, , , , ,p1,p1, , , , ,p1,p1,p1,p1,p1,p3
AP,a1,n1,n1, , , , ,d3,d3,d2, , , ,a1,d3,p1,p1,p1,n1, , , , , ,a1,a1,a1,a1
AQ,n1, , , ,a2,a2,d2,p1,p1,n1, , , , ,p2,p2,n1,n1, , , , ,a3,a3,d3,d3,d3,p2
AR,d2,p2,p1,n1, , , ,d3,d3,d2, , , ,d3,d2,d2, , , ,d2,p1,p1,p1,p1,n1, , , 
AS,p2,p2, , , ,a3,a3,a2,a2,a2,a2, , , ,p2,p1,p2,p1, , , , ,a2,a3,a2,a3,a2,p1
AT,d3,d2,d3,d3, , , ,n1,n1,n1, , , , , ,a3,a1,p2,p2,p2,p2, , , ,d1,d2,d1,d1
AU,d3, , , ,d1,d1,d3,d1,d1,d1, , , , ,d1,n1,n1,n1, , , , ,a2,a2,d3,d3,d1,d3
AV,d2, , , ,a2,a2,a2,d1,p3,p3, , , , ,p2,p3,p2,p3, , , , ,a2,a2,a2,a2,d1,d2
AW,p2,p1,p1,p1, , , ,p2,p2,p1,p1,p1, , , , , ,p2,p2,p2,p1, , , ,a2,a3,a3,a3
AX, , ,d2,d2,d3,d3,d3,d2, , , , ,d2,d2,d2,d2,d2,d3, , , ,a3,a3,a3,d1,d3, , 
AY, , , , , ,a3,d3,d3, , , , ,d3,d3,d1, , , , , , ,d1,d1, , , ,d3,d1
AZ,a3, , ,a3,a3,d3,p2,p2, , , , , ,a1,a1, , , , , , , , , , , ,a1,a1
BA, , , , , , , , , , , ,a3,p1, , , ,p3,p3,p3,p3,p3, , , ,p3,p3,p2, 
BB,n1, , , ,a3,d2,d2,d2,d2, , , ,p2,n1, , , , , , , , , , , , ,d2,d3
BC, , , , , ,d3,p1,p2, , , , ,a3,a3,a3, , , , ,a2,a2,a1,a1, , , , , 
BD, , ,p1,p1,p1, , , , , , ,p1,n1,n1, , , , , ,d3,d3, , , , , ,a3,a2
BE, , , , , ,a3,n1,n1, , , , ,d1,d2, , ,d2,d2,d2,p3,p1, , , , , , , 
BF, , , , , ,a1,a1,a1,a1,a1, , , ,d1,d1,p1, , , ,d3,d3, , , , , , , 
BG, , , , , ,a2,d1,d1, , , ,a2,n1, , , ,a2,a2,a2,a2,a1, , , , , , , 
BH, , , , ,p2,p2,p2,p3, , , ,d1,d1,d1,p3, , , , ,d1,p3, , , , , , , 
Problem status: Unfinished

The OM penalty = 4161
The Underworked penalty = 360
The minimised penalty = 4521
Time elapsed: 3600.2s.
